
 2023-08-13 12:09:35.670844 Пользователь kolyuxaxa, Какой-то Коляхаха: Desert Eagle
 2023-08-13 12:09:45.960505 Пользователь kolyuxaxa, Какой-то Коляхаха: Desert Eagle
 2023-08-13 12:09:45.960505 Пользователь kolyuxaxa, Какой-то Коляхаха: G22
 2023-08-13 12:16:00.928227 Пользователь kolyuxaxa, Какой-то Коляхаха: G22
 2023-08-13 12:16:00.928227 Пользователь kolyuxaxa, Какой-то Коляхаха: USP
 2023-08-13 12:16:00.928227 Пользователь kolyuxaxa, Какой-то Коляхаха: P350
 2023-08-13 12:18:16.883836 Пользователь kolyuxaxa, Какой-то Коляхаха: F/S
 2023-08-13 12:18:16.883836 Пользователь kolyuxaxa, Какой-то Коляхаха: TEC-9
 2023-08-13 12:18:16.883836 Пользователь kolyuxaxa, Какой-то Коляхаха: F/S
 2023-08-13 12:18:16.883836 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-13 12:18:16.883836 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал пистолеты-пулемёты
 2023-08-13 12:25:25.500463 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-13 12:25:25.500463 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал пистолеты-пулемёты
 2023-08-13 12:26:52.309066 Пользователь kolyuxaxa, Какой-то Коляхаха: UMP45
 2023-08-13 12:26:52.309066 Пользователь kolyuxaxa, Какой-то Коляхаха: MP7
 2023-08-13 12:30:15.604302 Пользователь kolyuxaxa, Какой-то Коляхаха: P90
 2023-08-13 12:30:15.604302 Пользователь kolyuxaxa, Какой-то Коляхаха: MP5
 2023-08-13 12:34:24.449985 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-13 12:34:24.449985 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал дробовики
 2023-08-13 12:34:24.449985 Пользователь kolyuxaxa, Какой-то Коляхаха: SM1014
 2023-08-13 12:34:24.449985 Пользователь kolyuxaxa, Какой-то Коляхаха: FABM
 2023-08-13 12:34:24.449985 Пользователь kolyuxaxa, Какой-то Коляхаха: SM1014
 2023-08-13 12:36:41.694179 Пользователь kolyuxaxa, Какой-то Коляхаха: SM1014
 2023-08-13 12:37:25.752951 Пользователь kolyuxaxa, Какой-то Коляхаха: SM1014
 2023-08-13 12:37:25.752951 Пользователь kolyuxaxa, Какой-то Коляхаха: FABM
 2023-08-13 12:39:59.761468 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-13 12:39:59.761468 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал гранаты
 2023-08-13 12:39:59.761468 Пользователь kolyuxaxa, Какой-то Коляхаха: осколочная граната
 2023-08-13 12:39:59.761468 Пользователь kolyuxaxa, Какой-то Коляхаха: ослепляющая граната
 2023-08-13 12:40:58.875791 Пользователь kolyuxaxa, Какой-то Коляхаха: Дымовая граната
 2023-08-13 12:41:40.702369 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-13 12:41:40.702369 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал бомбы
 2023-08-13 12:41:40.702369 Пользователь kolyuxaxa, Какой-то Коляхаха: C4
 2023-08-14 20:54:04.518318 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-14 20:54:04.518318 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-15 23:06:41.294270 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-15 23:06:41.294270 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-15 23:13:43.138804 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал пистолеты
 2023-08-17 23:34:11.324404 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-17 23:34:11.324404 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-17 23:37:12.841098 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-17 23:37:12.841098 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-17 23:39:13.502595 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-17 23:39:13.502595 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-17 23:41:19.583427 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-17 23:47:44.976949 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-17 23:48:00.051565 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-17 23:48:54.697776 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-17 23:48:54.697776 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: выбрал штурмовые винтовки
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: AKR-12
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: M16
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: выбрал бомбы
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: C4
 2023-10-08 20:59:48.143963 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
